CBDmax_mean;CBDmax_std;THCmax_mean;THCmax_std;LeaflyStrain;Effects__Aroused;Effects__Creative;Effects__Energetic;Effects__Euphoric;Effects__Focused;Effects__Giggly;Effects__Happy;Effects__Hungry;Effects__Relaxed;Effects__Sleepy;Effects__Talkative;Effects__Tingly;Effects__Uplifted;Medical__Cramps;Medical__Depression;Medical__Eye Pressure;Medical__Fatigue;Medical__Headaches;Medical__Inflammation;Medical__Insomnia;Medical__Lack of Appetite;Medical__Muscle Spasms;Medical__Nausea;Medical__Pain;Medical__Seizures;Medical__Spasticity;Medical__Stress;Negatives__Anxious;Negatives__Dizzy;Negatives__Dry Eyes;Negatives__Dry Mouth;Negatives__Headache;Negatives__Paranoid
1.904350323;1.482902254;52.85060645;34.71876722;1024;;;86.37316562;20.23060797;;;100;71.90775681;;;;;22.43186583;;55.64516129;;94.35483871;;83.06451613;;;;;100;;;72.58064516;1.658767773;0.829383886;15.52132701;100;0.829383886;
0.269184564;0.399586147;30.31807727;20.85040581;24k-gold;;57.70574495;50.95993239;;;;100;;94.97774022;;;;69.97091921;;100;;;23.66704899;;25.70866787;28.78256595;;;;;;82.66317112;20.25708842;21.2823138;67.48002161;100;34.30310269;
0.200224;0.19223155;30.39738738;22.49042941;3-kings;;34.86869917;;41.66397716;42.62583469;;;;100;;;;40.36301485;;54.97569476;;26.70955569;30.8368601;;;;;;42.46406625;;;100;9.654570651;67.28301596;12.62254273;100;;13.61571627
0.058876923;0.10463356;16.89463692;4.126889499;3x-crazy;;;;;;25.65681062;82.02593042;;100;36.62593664;;;38.18362715;;94.98950181;;;21.73124642;;91.63962588;;;;39.39683146;;;100;13.36633663;5.862428348;100;64.87754039;;11.41219385
0.170451287;0.157063294;28.60125796;16.32286692;501st-og;;;;64.4877973;36.43712109;;70.5891497;;100;;;;54.07274988;;;;62.0367971;71.7025136;;74.99352164;;;;95.51697331;;;100;4.415841584;0.99009901;100;70.47524752;2.475247525;
0.2242792;0.210202663;25.8092368;15.54791038;5th-element;;;;67.54491018;;;57.1257485;;100;59.76047904;;;38.32335329;;;;;;63.4751773;67.37588652;;100;;82.62411348;;;82.62411348;;16.66666667;73.68421053;100;16.66666667;33.33333333
0.16287;0.557430115;22.6125037;11.91613379;707-headband;;40.59089431;;100;;;37.54616756;;72.54577679;;;;47.13843082;;74.00717415;;53.44127641;;;;;47.94629312;;98.04530396;;;100;30.70447218;;35.72611175;100;8.802513482;27.36558775
0.546965;0.761993639;30.1901925;21.72792308;8-ball-kush;;13.23024055;;79.72508591;;;100;;93.64261168;;;;99.65635739;;82.45614035;;71.45135566;;11.64274322;;;;;100;;;90.59011164;;2.985074627;11.94029851;100;5.970149254;2.985074627
0.078333333;0.137610562;18.87602833;2.837485386;818-og;;;;87.85578748;;;97.34345351;;100;92.03036053;;81.02466793;;;;;;;90.71274298;100;;;96.9762419;100;;;96.9762419;;;100;65.11627907;;67.44186047
0.277363227;0.970600718;28.39607239;19.95525178;9-pound-hammer;;;;55.63747061;;;42.10646727;24.14189566;100;75.56150594;;;;;58.4008337;;;;;89.31434941;;50.85654943;;100;;;86.80333577;29.21414147;52.91960851;76.07306575;100;40.06603482;
0.222872727;0.382160127;24.72745509;18.39466416;91-krypt;;;;52.63157895;;;52.63157895;36.84210526;100;;;31.57894737;;;80;;53.33333333;;;;60;;46.66666667;;;;100;;71.42857143;42.85714286;100;;
0.32;0.152315462;18.74944286;1.063156388;a-10;;;;100;56.99710675;;;94.38099589;99.93908939;50.75376884;;;;;;100;;50.07488767;;56.6650025;50.22466301;;53.51972042;;;;;;2.466982308;95.51457762;100;1.794168951;2.915524545
0.2631;0;72.4274;0;a-dub;;;;58.72040755;;;99.1759065;;100;;80.43152532;;91.60922985;;78.69520897;;;57.69622834;;;;;63.91437309;100;;;87.5637105;1.791782515;;100;96.13839975;1.791782515;
0.530903474;0.428209137;25.27628571;18.56278777;a-train;;12.09938783;;100;;;92.94202377;;12.27943824;;;80.48253511;;;74.19354839;;;;;48.38709677;45.16129032;;;70.96774194;;;100;0.869565217;95.2173913;11.56521739;100;;1.956521739
0.336898467;0.507710867;21.07790103;13.4230242;abusive-og;;;;76.63085785;;;77.33146505;21.03378484;100;29.17639732;;;;;;;;;;67.68499661;57.50169722;46.43584521;;100;;;96.94501018;24.05259087;19.56689869;69.99226605;100;3.480278422;
0.310620942;0.665296603;26.85085715;19.00311642;acapulco-gold;;;71.20904985;100;;;91.71662528;;88.0733945;;;;89.99759706;;98.01680209;;85.60804297;;;;;;60.73268145;70.40077124;;;100;10.36345947;24.90010077;72.89342924;100;6.089509712;
29.55252506;24.06931437;7.49081358;11.37323534;acdc;;;;36.34765504;52.69425038;;76.8727748;;100;;;;67.49100918;;44.06442488;;;;57.33008634;;;39.55843772;;100;;;81.09215273;6.818938692;8.510150879;21.31263916;100;8.219267191;
0.485767764;3.117755831;25.15340612;21.17969323;ace-of-spades;;;;77.67355982;37.5028535;;75.35316235;;100;;;;54.20051699;;77.74078532;;;;;100;72.23721334;;66.78605632;;;;92.19275767;5.716781558;12.56482418;18.59821654;100;3.895380091;
0.158333333;0.105150686;16.88516667;3.792947908;acid;;67.1009772;58.11074919;100;;;95.89576547;;;;;;52.05211726;;71.82497332;;;65.42155816;;11.52614728;;;75.34685165;;;;100;;1.997336884;100;100;69.24101198;
1.396857333;2.687871031;32.04375067;24.77954152;afcrack;;57.69230769;;;;;100;;100;50;;61.53846154;;;13.04347826;;100;8.695652174;;;;;;8.695652174;;;60.86956522;8.333333333;;4.166666667;100;;4.166666667
0.107227778;0.083610156;20.74685333;13.59135668;afgahni-bullrider;;61.67741935;;;100;;84.77419355;;84;;;;90.06451613;;77.11864407;;32.83898305;;;59.53389831;;;;41.94915254;;;100;;9.633027523;49.31192661;100;5.504587156;16.51376147
0.118509091;0.242255464;15.85520273;13.69597291;afghan-diesel;;;;15.69606212;10.98169717;97.78147532;100;;98.33610649;;;;;;18.51851852;;;;;20.57613169;;;14.40329218;100;;;45.26748971;4.587155963;9.174311927;95.41284404;100;;81.65137615
